,company_id,name,company_domain_name,company_owner,city,telefone,country/region,sistema_de_ensino,state/region,associated_deals,associated_company_id,associated_company
136,5285541970,COLÉGIO DIPLOMATA,https://www.coc.com.br/nossas-escolas/colegio-diplomata,,Feira de Santana,(75) 3616-0077,,COC (Arco),BA,,,
137,5285536878,COLEGIO DIVINO SALVADOR JUNDIAÍ,https://divinojundiai.com.br/,Nicole Oliveira,Jundiaí,(11) 4588-1365,,COC (Arco),SP,1.0,,
138,5285614431,COLÉGIO DOM BOSCO,http://www.cocguariba.com.br/cocguariba/,Nicole Oliveira,Guariba,(16) 3251-8711,,COC (Arco),SP,1.0,,
139,5285536876,COLÉGIO DOM PEDRO,https://www.dompedro.g12.br/,Karen Bustamante,Taboão da Serra,(11) 4137-8206,,COC (Arco),SP,1.0,,
140,5285550547,COLÉGIO EDUC,https://www.coc.com.br/nossas-escolas/colegio-educacional-de-itau-de-minas,Karen Bustamante,Itaú de Minas,(35) 3536-1395,,COC (Arco),MG,1.0,,
141,5285552697,COLÉGIO EDUCAR,https://www.educamaisbrasil.com.br/escolas/colegio-educar-de-miguelopolis,Karen Bustamante,Miguelópolis,-,,COC (Arco),SP,1.0,,
142,5285549005,COLÉGIO EQUIPE GRAU - NILÓPOLIS,http://equipegrau.com.br/,Karen Bustamante,Nilópolis,(21) 2691-6296,,COC (Arco),RJ,1.0,,
143,5285534749,COLÉGIO EQUIPE GRAU - SEC,http://equipegrau.com.br/,Karen Bustamante,Nova Iguaçu,(21) 3776-0561,,COC (Arco),RJ,1.0,,
144,5285546859,COLÉGIO ESPU,http://colegioespucoc.com.br/,,Brasília,(61) 3562-8402,,COC (Arco),DF,1.0,,
145,5284588293,COLÉGIO ESTAÇÃO,http://www.colegioestacao.com/,,Macapá,(96) 99106-9799,,COC (Arco),AP,1.0,,
146,5285533390,COLÉGIO EUCLIDES DA CUNHA,https://www.educamaisbrasil.com.br/escolas/colegio-euclides-da-cunha-flamenguinho,,Cantagalo,(22) 2555-4166,,COC (Arco),RJ,1.0,,
147,5284588290,COLÉGIO EUCLIDES DA CUNHA,https://www.colegioeuclides.com.br/,,Ilha Solteira,(18) 3742-2619,,COC (Arco),SP,1.0,,
148,5285538217,COLÉGIO EVOLUÇÃO MARICÁ,https://www.coc.com.br/nossas-escolas/colegio-evolucao-marica,,São Bento da Lagoa Itaipuacu,(21) 2638-8093,,COC (Arco),RJ,1.0,,
149,5285666089,COLÉGIO EVOLUÇÃO SÃO LUDGERO,https://www.coc.com.br/nossas-escolas/colegio-evolucao-sao-ludgero,,São Ludgero,(48) 3657-1213,,COC (Arco),SC,1.0,,
150,5285534737,COLÉGIO EXATHUM - UNIDADE CENTRO,https://www.exathum.com.br/,,Joinville,(47) 3433-9300,,COC (Arco),SC,1.0,,
151,5284588277,COLÉGIO EXCELÊNCIA,https://www.facebook.com/colegioexcelenciacacule/,,Copacabana,-,,COC (Arco),BA,1.0,,
152,5285636035,COLÉGIO EXCELÊNCIA ARIQUEMES,http://www.colegioexcelenciaro.com.br/,,Ariquemes,(69) 98455-1924,,COC (Arco),RO,1.0,,
153,5285531173,COLÉGIO ENSINE ARAGUAÍNA,https://afnoticias.com.br/com-educacao-financeira-colegio-de-araguaina-ensina-alunos-a-manter-equilibrio-dos-gastos,,Araguaína,(63) 3413-0500,,COC (Arco),TO,,,
154,5285629513,COLÉGIO EQUIPE GRAU - MATRIZ/CENTRO,https://www.coc.com.br/nossas-escolas/colegio-equipe-grau-matriz-centro,,Nova Iguaçu,(21) 2667-1188,,COC (Arco),RJ,1.0,,
155,5285550542,COLÉGIO EXPANSÃO DE SANTA MARIA DOS ANJOS,https://www.coc.com.br/nossas-escolas/colegio-expansao-de-santa-maria-dos-anjos,,Quirinópolis,(64) 3651-1237,,COC (Arco),GO,,,
156,5285545158,COLÉGIO FAG COC,https://www.colegiofag.com.br/,,FAG,-,,COC (Arco),PR,1.0,,
157,5285627625,COLÉGIO FAMA,https://www.colegiofama.com.br/,Karen Bustamante,Iturama,(34) 3411-9700,,COC (Arco),MG,1.0,,
