,deal_id,deal_name,dominio,telefone,cidade,time_que_vai_atacar/está_atacando_a_lead,sistema_de_ensino,nível_de_crença,qualificação_socioeconômica,dominio_(url_do_site_da_escola),associated_company_id,associated_company
28,4163931228,CENTRO DE ENSINO MARIA ANGELIM - CEMA,https://mariaangelim.com.br/,(92) 3641-1142,Manaus,,,,,,5285541964,CENTRO DE ENSINO MARIA ANGELIM - CEMA
29,4163969424,ORGANIZAÇÃO SANTA CLARA DE ENSINO UNIFICADO,https://www.coc.com.br/nossas-escolas/organizacao-santa-clara-de-ensino-unificado,(18) 3652-9755,Penápolis,,,,,,5285541969,ORGANIZAÇÃO SANTA CLARA DE ENSINO UNIFICADO
30,4307491687,COLÉGIO LE PERINI,https://www.leperini.com.br/,(19) 3875-4731,Indaiatuba,,,,,,5285549003,COLÉGIO LE PERINI
31,4281266078,ESCOLA TÉCNICA VALE DOS CARAJAS,https://etvc.grupont.com.br/,(94) 3346-8710,Parauapebas,,,,,,5285522184,ESCOLA TÉCNICA VALE DOS CARAJAS
32,4281254422,ESCOLA TECNICA DE FORMACAO GERENCIAL - UNIFEMM,https://www.coc.com.br/nossas-escolas/escola-tecnica-de-formacao-gerencial-unifemm,(31) 2106-2106,Sete Lagoas,,,,,,5285531188,ESCOLA TECNICA DE FORMACAO GERENCIAL - UNIFEMM
33,4281157637,SOCIEDADE EDUCATIVA EQUILÍBRIO,https://pt-br.facebook.com/sociedadeeducativaequilibrio,(14) 3282-4107,Duartina,,,,,,5285538225,SOCIEDADE EDUCATIVA EQUILÍBRIO
34,4161636052,CENTRO DE EDUCACAO PROJETAR,http://ceprojetar.com.br/,(27) 3264-3567,Linhares,,,,,,5285524204,CENTRO DE EDUCACAO PROJETAR
35,4162493425,COC VARGEM GRANDE DO SUL,https://www.instagram.com/coc.vgsul/,-,Vargem Grande do Sul,,,,,,5285546863,COC VARGEM GRANDE DO SUL
36,4176511687,COLÉGIO ALPHA VIRADOURO,https://www.facebook.com/ColegioAlphaViradouro/,(17) 3392-3938,Viradouro,,,,,,5285627624,COLÉGIO ALPHA VIRADOURO
37,4176487581,COLÉGIO ALFA,https://alfacolegio.com.br/,(21) 2671-4730,Duque de Caxias,,,,,,5285534745,COLÉGIO ALFA
38,4168790899,COC GUANABARA,https://www.coc.com.br/nossas-escolas/todas/5,-,Rio de Janeiro,,,,,,5285536873,COC GUANABARA
39,4306808352,COLÉGIO EDUKANDARIUM MONDINI - UNIDADE I E II,https://edukandariummondini.com.br/,(11) 2280-2435,São Paulo,,,,,,5285629518,COLÉGIO EDUKANDARIUM MONDINI - UNIDADE I E II
40,4176482460,COLÉGIO ALCANCE - EF,https://www.coc.com.br/nossas-escolas/colegio-alcance-ef,(12) 3952-2190,Jacareí,,,E. Orbitando,C/D,,5285636034,COLÉGIO ALCANCE - EF
